+----------------------------------------------------------------------------------------------------------------------+
|                              parse benchmark: style_seqs_flow_outer1000_inner1000_json                               |
+------------------------------------------+---------+---------+-----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |   MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
| ryml_json_arena_reuse_nofilter_reserve   |  113.80 |  62.09x |  6108.70% |         34.23 |       0.02x |     -98.39% |
| ryml_json_arena_reuse_nofilter           |  119.22 |  65.04x |  6404.35% |         32.67 |       0.02x |     -98.46% |
| ryml_json_arena_reuse_reserve            |  124.64 |  68.00x |  6700.00% |         31.25 |       0.01x |     -98.53% |
| ryml_json_arena_reuse                    |  124.64 |  68.00x |  6700.00% |         31.25 |       0.01x |     -98.53% |
| ryml_json_inplace_nofilter_reserve       |   98.55 |  53.77x |  5276.74% |         39.52 |       0.02x |     -98.14% |
| ryml_json_inplace_nofilter               |   38.78 |  21.16x |  2015.56% |        100.45 |       0.05x |     -95.27% |
| ryml_json_inplace_reserve                |   96.31 |  52.55x |  5154.55% |         40.44 |       0.02x |     -98.10% |
| ryml_json_inplace                        |   38.78 |  21.16x |  2015.56% |        100.45 |       0.05x |     -95.27% |
| ryml_json_arena_nofilter_reserve         |   94.17 |  51.38x |  5037.78% |         41.36 |       0.02x |     -98.05% |
| ryml_json_arena_nofilter                 |   39.36 |  21.47x |  2047.37% |         98.96 |       0.05x |     -95.34% |
| ryml_json_arena_reserve                  |   94.17 |  51.38x |  5037.78% |         41.36 |       0.02x |     -98.05% |
| ryml_json_arena                          |   38.78 |  21.16x |  2015.56% |        100.45 |       0.05x |     -95.27% |
| ryml_yaml_inplace_reuse_nofilter_reserve |   98.67 |  53.83x |  5283.33% |         39.47 |       0.02x |     -98.14% |
| ryml_yaml_inplace_reuse_nofilter         |   98.55 |  53.77x |  5276.74% |         39.52 |       0.02x |     -98.14% |
| ryml_yaml_inplace_reuse_reserve          |   98.55 |  53.77x |  5276.74% |         39.52 |       0.02x |     -98.14% |
| ryml_yaml_inplace_reuse                  |   98.55 |  53.77x |  5276.74% |         39.52 |       0.02x |     -98.14% |
| ryml_yaml_arena_reuse_nofilter_reserve   |   96.31 |  52.55x |  5154.55% |         40.44 |       0.02x |     -98.10% |
| ryml_yaml_arena_reuse_nofilter           |   33.99 |  18.55x |  1754.55% |        114.58 |       0.05x |     -94.61% |
| ryml_yaml_arena_reuse_reserve            |   90.17 |  49.19x |  4819.15% |         43.20 |       0.02x |     -97.97% |
| ryml_yaml_arena_reuse                    |   92.76 |  50.60x |  4960.47% |         41.99 |       0.02x |     -98.02% |
| ryml_yaml_inplace_nofilter_reserve       |   75.54 |  41.21x |  4021.21% |         51.56 |       0.02x |     -97.57% |
| ryml_yaml_inplace_nofilter               |   35.61 |  19.43x |  1842.86% |        109.38 |       0.05x |     -94.85% |
| ryml_yaml_inplace_reserve                |   77.90 |  42.50x |  4150.00% |         50.00 |       0.02x |     -97.65% |
| ryml_yaml_inplace                        |   35.61 |  19.43x |  1842.86% |        109.38 |       0.05x |     -94.85% |
| ryml_yaml_arena_nofilter_reserve         |   77.90 |  42.50x |  4150.00% |         50.00 |       0.02x |     -97.65% |
| ryml_yaml_arena_nofilter                 |   35.61 |  19.43x |  1842.86% |        109.38 |       0.05x |     -94.85% |
| ryml_yaml_arena_reserve                  |   78.35 |  42.74x |  4174.29% |         49.72 |       0.02x |     -97.66% |
| ryml_yaml_arena                          |   33.99 |  18.55x |  1754.55% |        114.58 |       0.05x |     -94.61% |
| libyaml_arena                            |   10.17 |   5.55x |   455.10% |        382.81 |       0.18x |     -81.99% |
| libyaml_arena_reuse                      |   11.87 |   6.48x |   547.62% |        328.12 |       0.15x |     -84.56% |
| yamlcpp_arena                            |    1.83 |   1.00x |     0.00% |       2125.00 |       1.00x |       0.00% |
| rapidjson_arena                          |  232.28 | 126.73x | 12572.73% |         16.77 |       0.01x |     -99.21% |
| rapidjson_inplace                        |  254.95 | 139.09x | 13809.09% |         15.28 |       0.01x |     -99.28% |
| sajson_arena                             |  155.11 |  84.62x |  8362.22% |         25.11 |       0.01x |     -98.82% |
| sajson_inplace                           |  162.32 |  88.56x |  8755.81% |         24.00 |       0.01x |     -98.87% |
| jsoncpp_arena                            |   17.81 |   9.71x |   871.43% |        218.75 |       0.10x |     -89.71% |
| nlohmann_arena                           |   33.99 |  18.55x |  1754.55% |        114.58 |       0.05x |     -94.61% |
+------------------------------------------+---------+---------+-----------+---------------+-------------+-------------+ 


