+----------------------------------------------------------------------------------------------------------------------+
|                               parse benchmark: style_seqs_flow_outer1000_inner100_json                               |
+------------------------------------------+---------+---------+-----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |   MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
| ryml_yaml_inplace_reuse_nofilter_reserve |  116.49 |  32.99x |  3199.46% |          3.37 |       0.03x |     -96.97% |
| ryml_yaml_inplace_reuse_nofilter         |  117.17 |  33.19x |  3218.74% |          3.35 |       0.03x |     -96.99% |
| ryml_yaml_inplace_reuse_reserve          |  116.56 |  33.01x |  3201.46% |          3.37 |       0.03x |     -96.97% |
| ryml_yaml_inplace_reuse                  |  117.25 |  33.21x |  3220.95% |          3.35 |       0.03x |     -96.99% |
| ryml_yaml_arena_reuse_nofilter_reserve   |  116.25 |  32.93x |  3192.63% |          3.38 |       0.03x |     -96.96% |
| ryml_yaml_arena_reuse_nofilter           |   61.52 |  17.43x |  1642.53% |          6.39 |       0.06x |     -94.26% |
| ryml_yaml_arena_reuse_reserve            |  116.29 |  32.94x |  3193.84% |          3.38 |       0.03x |     -96.96% |
| ryml_yaml_arena_reuse                    |  115.23 |  32.64x |  3163.63% |          3.41 |       0.03x |     -96.94% |
| ryml_yaml_inplace_nofilter_reserve       |  117.37 |  33.24x |  3224.48% |          3.35 |       0.03x |     -96.99% |
| ryml_yaml_inplace_nofilter               |   63.04 |  17.86x |  1685.62% |          6.23 |       0.06x |     -94.40% |
| ryml_yaml_inplace_reserve                |  117.29 |  33.22x |  3222.17% |          3.35 |       0.03x |     -96.99% |
| ryml_yaml_inplace                        |   62.53 |  17.71x |  1671.13% |          6.28 |       0.06x |     -94.35% |
| ryml_yaml_arena_nofilter_reserve         |  116.00 |  32.86x |  3185.55% |          3.39 |       0.03x |     -96.96% |
| ryml_yaml_arena_nofilter                 |   62.37 |  17.66x |  1666.50% |          6.30 |       0.06x |     -94.34% |
| ryml_yaml_arena_reserve                  |  116.02 |  32.86x |  3186.06% |          3.39 |       0.03x |     -96.96% |
| ryml_yaml_arena                          |   62.25 |  17.63x |  1663.19% |          6.31 |       0.06x |     -94.33% |
| libyaml_arena                            |   21.50 |   6.09x |   508.85% |         18.28 |       0.16x |     -83.58% |
| libyaml_arena_reuse                      |   21.95 |   6.22x |   521.81% |         17.90 |       0.16x |     -83.92% |
| libfyaml_arena                           |   15.68 |   4.44x |   343.99% |         25.07 |       0.23x |     -77.48% |
| yamlcpp_arena                            |    3.53 |   1.00x |     0.00% |        111.31 |       1.00x |       0.00% |
| rapidjson_arena                          |  393.63 | 111.49x | 11049.23% |          1.00 |       0.01x |     -99.10% |
| rapidjson_inplace                        |  382.30 | 108.28x | 10728.35% |          1.03 |       0.01x |     -99.08% |
| sajson_arena                             |  213.38 |  60.44x |  5943.63% |          1.84 |       0.02x |     -98.35% |
| sajson_inplace                           |  215.62 |  61.07x |  6007.33% |          1.82 |       0.02x |     -98.36% |
| jsoncpp_arena                            |   29.05 |   8.23x |   722.92% |         13.53 |       0.12x |     -87.85% |
| nlohmann_arena                           |   69.63 |  19.72x |  1872.06% |          5.64 |       0.05x |     -94.93% |
+------------------------------------------+---------+---------+-----------+---------------+-------------+-------------+ 


